_id,descriptor_id,energy,fermi_level,total_mag,homo_lumo_gap_majority,lumo_majority,homo_majority,E_1_majority,homo_lumo_gap_minority,lumo_minority,homo_minority,E_1_minority,formation_energy,formation_energy_per_site,energy_per_atom,normalized_homo_majority,normalized_lumo_majority,normalized_homo_minority,normalized_lumo_minority,homo_lumo_gap_min,homo_lumo_gap_max,homo_min,homo_max,lumo_min,lumo_max,normalized_homo_min,normalized_homo_max,normalized_lumo_min,normalized_lumo_max
P_P141N1_dd6a5668-efc9-4f4c-aee8-ac3472eaf09f,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.1626739,-2.34120538,0.3735402,0.997,-1.3324,-2.3294,-20.211,0.9275,-1.3305,-2.258,-20.1964,4.230926100000033,1.4103087000000112,-5.353258266901408,2.9115999999999964,3.9085999999999963,2.968399999999999,3.8958999999999975,0.9275,0.997,-2.3294,-2.258,-1.3324,-1.3305,2.9115999999999964,2.968399999999999,3.8958999999999975,3.9085999999999963
P_P141N1_2a285334-f6b0-498c-bb4a-788bfd4af4a6,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.79166115,-2.26566778,0.2740711,0.8881000000000001,-1.3302,-2.2183,-20.1189,0.7929999999999999,-1.3286,-2.1216,-20.1178,3.601938850000124,1.2006462833333746,-5.357687754577465,2.9305999999999983,3.818699999999996,3.026199999999996,3.819199999999995,0.7929999999999999,0.8881000000000001,-2.2183,-2.1216,-1.3302,-1.3286,2.9305999999999983,3.026199999999996,3.818699999999996,3.819199999999995
P_P141_83ddad39-bb28-4896-93f3-a97b8664304f,851b0d44-b9af-41e1-b1ec-925daf419aae,-751.69342692,-2.23210687,0.9732717,0.7286999999999999,-1.6675,-2.3962,-17.2629,0.4319999999999999,-1.6566,-2.0886,-17.2612,4.376173080000058,1.4587243600000193,-5.331159056170213,-0.10330000000000439,0.6253999999999955,0.20259999999999678,0.6345999999999954,0.4319999999999999,0.7286999999999999,-2.3962,-2.0886,-1.6675,-1.6566,-0.10330000000000439,0.20259999999999678,0.6253999999999955,0.6345999999999954
P_P141N1_64f2c31f-7207-4897-9877-60187bcb87d4,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.4933806,-2.21908058,1.8620923,0.9955,-1.3313,-2.3268,-20.3546,0.7039999999999997,-1.3262,-2.0302,-20.3553,3.900219399999969,1.300073133333323,-5.355587187323944,3.0578000000000003,4.0533,3.3550999999999966,4.059099999999997,0.7039999999999997,0.9955,-2.3268,-2.0302,-1.3313,-1.3262,3.0578000000000003,3.3550999999999966,4.0533,4.059099999999997
P_P141N1_af730d2e-7790-46db-8751-75e46bf49b68,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.14047235,-2.262924,0.1421282,0.6301999999999999,-1.564,-2.1942,-20.2375,0.5673000000000001,-1.5634,-2.1307,-20.2376,4.253127650000124,1.417709216666708,-5.353101917957746,3.0732999999999997,3.7034999999999982,3.136899999999997,3.7041999999999966,0.5673000000000001,0.6301999999999999,-2.1942,-2.1307,-1.564,-1.5634,3.0732999999999997,3.136899999999997,3.7034999999999982,3.7041999999999966
P_P141N1_2ba80edc-221d-4ee2-8fcd-e1841b61edd9,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-761.001758,-1.94590864,6.68e-05,0.7816000000000001,-1.5551,-2.3367,-20.2537,0.7816000000000001,-1.5551,-2.3367,-20.2537,3.391841999999997,1.130613999999999,-5.359167309859155,2.9469999999999956,3.7285999999999966,2.9469999999999956,3.7285999999999966,0.7816000000000001,0.7816000000000001,-2.3367,-2.3367,-1.5551,-1.5551,2.9469999999999956,2.9469999999999956,3.7285999999999966,3.7285999999999966
P_P141_d0a3022b-819b-40a6-a751-95a842e0b766,851b0d44-b9af-41e1-b1ec-925daf419aae,-751.04559907,-2.32322958,0.0128997,0.8176999999999999,-1.3481,-2.1658,-17.267,0.8161,-1.3483,-2.1644,-17.2671,5.0240009300000565,1.6746669766666855,-5.326564532411347,0.1311999999999962,0.9488999999999965,0.13269999999999627,0.9487999999999968,0.8161,0.8176999999999999,-2.1658,-2.1644,-1.3483,-1.3481,0.1311999999999962,0.13269999999999627,0.9487999999999968,0.9488999999999965
P_P141N3_36cf2937-a12b-44cc-8666-c2b40897a308,3765801f-e8c7-4e1e-8705-da03ef64f59c,-778.89993758,-1.80405446,3.05e-05,0.9693,-1.3234,-2.2927,-20.2427,0.9693,-1.3234,-2.2927,-20.2427,2.1416624199999887,0.7138874733333296,-5.409027344305556,2.979999999999997,3.9492999999999974,2.979999999999997,3.9492999999999974,0.9693,0.9693,-2.2927,-2.2927,-1.3234,-1.3234,2.979999999999997,2.979999999999997,3.9492999999999974,3.9492999999999974
P_P141N3_fc942ccc-3244-4a56-ad44-d8387123e395,3765801f-e8c7-4e1e-8705-da03ef64f59c,-778.90569598,-1.81675393,1.88e-05,0.9742000000000002,-1.3215,-2.2957,-20.2501,0.9742000000000002,-1.3215,-2.2957,-20.2501,2.135904019999998,0.711968006666666,-5.409067333194445,2.9843999999999973,3.958599999999997,2.9843999999999973,3.958599999999997,0.9742000000000002,0.9742000000000002,-2.2957,-2.2957,-1.3215,-1.3215,2.9843999999999973,2.9843999999999973,3.958599999999997,3.958599999999997
P_P141N2_24cbcb02-7eee-4a28-a1ef-54efe7f6deec,72c75217-369a-483e-88f6-86c3edaaf8af,-769.78577415,-2.18804235,0.9174253,0.9913999999999998,-1.3231,-2.3145,-20.2804,0.7571999999999999,-1.3208,-2.078,-20.278,2.9318258500001093,0.9772752833333698,-5.383117301748252,2.995899999999999,3.9872999999999976,3.229999999999997,3.987199999999998,0.7571999999999999,0.9913999999999998,-2.3145,-2.078,-1.3231,-1.3208,2.995899999999999,3.229999999999997,3.987199999999998,3.9872999999999976
P_P141N1_a2518086-01e9-4fcf-aed5-1a87ef7bf64c,5106743f-06b3-4e57-8ee6-5cdf4ed14dc5,-760.59951722,-2.22970145,1.8789016,1.0091,-1.3325,-2.3416,-20.2897,0.7777000000000003,-1.3276,-2.1053,-20.2795,3.7940827800000534,1.2646942600000177,-5.35633462830986,2.9780999999999977,3.987199999999998,3.2041999999999966,3.981899999999996,0.7777000000000003,1.0091,-2.3416,-2.1053,-1.3325,-1.3276,2.9780999999999977,3.2041999999999966,3.981899999999996,3.987199999999998
