_id,dataset_material,vacancy_sites,substitution_sites,defect_sites,band_gap_value,strata
BN_B62C2N63_816498e1-eef8-400f-93d4-17a0a435389a,high_BN,1.0,2.0,3.0,0.4786999999999999,0
BN_B62C1N63_631c0dc0-4762-4e3c-93ba-d4876a1b7997,high_BN,2.0,1.0,3.0,0.5971000000000011,0
BN_B63C2N62_5ea09385-eb62-43dc-9334-9142794a8de0,high_BN,1.0,2.0,3.0,0.8445,0
BN_B63C1N62_e4656f55-37a8-4fcf-bec1-fd7cc833f86b,high_BN,2.0,1.0,3.0,0.8705499999999979,0
BN_B62C2N63_91fe1ce6-6a19-4a26-8caa-82caf4ca6ac2,high_BN,1.0,2.0,3.0,1.8463999999999992,0
BN_B62C1N63_bf087d8a-5a80-4a8d-b49c-11eee139028c,high_BN,2.0,1.0,3.0,0.9186499999999996,0
BN_B62C1N63_893ce5db-7b03-4ba6-8e55-53222b1695e6,high_BN,2.0,1.0,3.0,0.660499999999999,0
BN_B61C1N64_a50c04dd-8fa1-4002-8868-188649964cc9,high_BN,2.0,1.0,3.0,1.6769999999999996,0
BN_B63C1N62_52a5aa1f-0d31-40fa-a5c4-f128d224df4a,high_BN,2.0,1.0,3.0,1.4415000000000011,0
BN_B63C2N62_b5c87de5-fac3-4157-86fd-41eac6b5a9a7,high_BN,1.0,2.0,3.0,1.3496500000000005,0
BN_B63C1N62_3b0d3454-cfed-46c6-9fe5-b0df4a2edc66,high_BN,2.0,1.0,3.0,1.9909,0
BN_B62C2N63_4409358a-dcc8-49f6-b702-608d39766e11,high_BN,1.0,2.0,3.0,0.2347500000000018,0
BN_B63N62_3760435c-dd62-4d1f-9763-66311e5ab139,high_BN,3.0,0.0,3.0,0.4364500000000006,0
BN_B62C1N63_cc56269d-91a1-4a0b-b9e8-e158426efc36,high_BN,2.0,1.0,3.0,0.9067000000000008,0
BN_B61C2N64_3a00ec3f-2de2-4d3b-9b63-3160d9d9b326,high_BN,1.0,2.0,3.0,0.5123500000000014,0
BN_B61N64_4c4fb839-fda3-4a8c-946a-c452b13f9e6d,high_BN,3.0,0.0,3.0,2.1989500000000035,0
BN_B62C3N63_9a1aea8f-da29-4edc-9208-a37956436273,high_BN,0.0,3.0,3.0,1.3227499999999992,0
BN_B61N64_68d5a805-c2bf-4ffe-aa80-512a409542b1,high_BN,3.0,0.0,3.0,1.5707999999999984,0
BN_B63C2N62_9ed008a9-5f25-4c0b-ba4a-8a47cda478be,high_BN,1.0,2.0,3.0,0.5088000000000008,0
BN_B62C1N63_c614fb3e-a560-49c0-a1f6-b15a83b422ee,high_BN,2.0,1.0,3.0,0.772000000000002,0
