_id,descriptor_id,energy,fermi_level,total_mag,homo_lumo_gap_majority,lumo_majority,homo_majority,E_1_majority,homo_lumo_gap_minority,lumo_minority,homo_minority,E_1_minority
BN_B62C2N63_816498e1-eef8-400f-93d4-17a0a435389a,4148f59e-b1a4-4735-90ec-2c40f6a9a615,-1106.8694971,-1.24184762,0.9996579,0.5286000000000001,-0.9624,-1.491,-23.8248,0.42879999999999996,-0.5602,-0.989,-23.6993
BN_B62C1N63_631c0dc0-4762-4e3c-93ba-d4876a1b7997,fa05e752-be0a-45a0-b053-6a79c0eca07a,-1092.75572814,-1.77094656,1.7308198,1.0531000000000001,-0.5478,-1.6009,-24.4227,0.1411,-1.3818,-1.5229,-24.3523
BN_B63C2N62_5ea09385-eb62-43dc-9334-9142794a8de0,3a1c3336-7cf3-425f-910a-5295349759e7,-1104.99704846,-2.11578103,0.9999282,0.8197999999999999,-1.6006,-2.4204,-24.5209,0.8692000000000002,-1.8112,-2.6804,-24.4709
BN_B63C1N62_e4656f55-37a8-4fcf-bec1-fd7cc833f86b,22f75796-50af-4872-93ca-38f403cf74ce,-1091.77685336,-2.7526907,0.8307834,0.9671999999999998,-1.8827,-2.8499,-22.4616,0.7739000000000003,-1.8819,-2.6558,-22.4612
BN_B62C2N63_91fe1ce6-6a19-4a26-8caa-82caf4ca6ac2,4148f59e-b1a4-4735-90ec-2c40f6a9a615,-1105.29359373,-3.96218121,2.4463018,2.5402,-1.4659,-4.0061,-24.4453,1.1526,-2.7666,-3.9192,-24.4321
BN_B62C1N63_bf087d8a-5a80-4a8d-b49c-11eee139028c,fa05e752-be0a-45a0-b053-6a79c0eca07a,-1092.9390847,-2.19199121,1.0000002,1.4679000000000002,-1.7992,-3.2671,-24.4649,0.36939999999999995,-1.8012,-2.1706,-24.4664
BN_B62C1N63_893ce5db-7b03-4ba6-8e55-53222b1695e6,fa05e752-be0a-45a0-b053-6a79c0eca07a,-1092.7429768,-1.87011033,2.2480603,1.1412999999999998,-0.5007,-1.642,-24.6746,0.1797000000000002,-1.4525,-1.6322,-24.6635
BN_B61C1N64_a50c04dd-8fa1-4002-8868-188649964cc9,17d30cdf-cd0b-49ed-8659-5a556bdfcf7c,-1092.32105304,-4.18565098,3.5073662,2.7046,-1.4469,-4.1515,-24.5794,0.6493999999999995,-3.5832,-4.2326,-24.5749
BN_B63C1N62_52a5aa1f-0d31-40fa-a5c4-f128d224df4a,22f75796-50af-4872-93ca-38f403cf74ce,-1090.57823797,-3.43844627,2.9984345,1.7795,-1.8828,-3.6623,-22.4805,1.1035,-2.1111,-3.2146,-22.4796
BN_B63C2N62_b5c87de5-fac3-4157-86fd-41eac6b5a9a7,3a1c3336-7cf3-425f-910a-5295349759e7,-1105.01358566,-1.69404506,0.9998879,1.3763999999999998,-0.2555,-1.6319,-24.4371,1.3228999999999997,-1.4146,-2.7375,-24.3897
