,_id,dataset_material,band_gap_value,to_strata
0,619cdd5145851b2ed2430ebf,low_WSe2,0.2721999999999998,WSe2_0.01562
1,619cdd5145851b2ed2430ec0,low_WSe2,0.21369999999999933,WSe2_0.01562
2,619cdd5145851b2ed2430ec1,low_WSe2,1.2912999999999997,WSe2_0.01562
3,619cdd5145851b2ed2430ec2,low_WSe2,0.21640000000000015,WSe2_0.01562
4,619cdd5145851b2ed2430ec3,low_WSe2,0.2024000000000008,WSe2_0.01562
5,619cdd5145851b2ed2430ec4,low_WSe2,1.2982000000000014,WSe2_0.01562
6,619cdd5145851b2ed2430ec5,low_WSe2,1.2797,WSe2_0.01042
7,619cdd5145851b2ed2430ec6,low_WSe2,1.2952000000000012,WSe2_0.01562
8,619cdd5145851b2ed2430ec7,low_WSe2,0.1872000000000007,WSe2_0.01562
9,619cdd5145851b2ed2430ec8,low_WSe2,1.1599000000000004,WSe2_0.01562
10,619cdd5145851b2ed2430ec9,low_WSe2,0.21000000000000085,WSe2_0.01562
11,619cdd5145851b2ed2430eca,low_WSe2,1.8231000000000037,WSe2_0.01562
12,619cdd5145851b2ed2430ecb,low_WSe2,0.1927999999999983,WSe2_0.01562
13,619cdd5145851b2ed2430ecc,low_WSe2,0.19399999999999906,WSe2_0.01562
14,619cdd5145851b2ed2430ecd,low_WSe2,0.2734999999999985,WSe2_0.01562
15,619cdd5145851b2ed2430ece,low_WSe2,0.1958000000000002,WSe2_0.01562
16,619cdd5145851b2ed2430ecf,low_WSe2,1.831000000000003,WSe2_0.01562
17,619cdd5145851b2ed2430ed0,low_WSe2,0.18989999999999974,WSe2_0.01562
18,619cdd5145851b2ed2430ed1,low_WSe2,1.2989999999999995,WSe2_0.01562
19,619cdd5145851b2ed2430ed2,low_WSe2,0.8562999999999974,WSe2_0.01562
20,619cdd5145851b2ed2430ed3,low_WSe2,1.8325999999999993,WSe2_0.01562
21,619cdd5145851b2ed2430ed4,low_WSe2,1.3011000000000053,WSe2_0.01562
22,619cdd5145851b2ed2430ed5,low_WSe2,1.2999999999999972,WSe2_0.01562
23,619cdd5145851b2ed2430ed6,low_WSe2,0.18810000000000038,WSe2_0.01562
24,619cdd5145851b2ed2430ed7,low_WSe2,0.1761999999999997,WSe2_0.01562
25,619cdd5145851b2ed2430ed8,low_WSe2,0.1742000000000008,WSe2_0.01562
26,619cdd5145851b2ed2430ed9,low_WSe2,0.19180000000000064,WSe2_0.01562
27,619cdd5145851b2ed2430eda,low_WSe2,1.3001999999999967,WSe2_0.01562
28,619cdd5145851b2ed2430edb,low_WSe2,1.3059000000000012,WSe2_0.01562
29,619cdd5145851b2ed2430edc,low_WSe2,1.2453000000000003,WSe2_0.01562
30,619cdd5145851b2ed2430edd,low_WSe2,1.827300000000001,WSe2_0.01562
31,619cdd5145851b2ed2430ede,low_WSe2,1.3028000000000048,WSe2_0.01562
32,619cdd5145851b2ed2430edf,low_WSe2,1.823999999999998,WSe2_0.01562
33,619cdd5145851b2ed2430ee0,low_WSe2,0.6563000000000017,WSe2_0.01562
34,619cdd5145851b2ed2430ee1,low_WSe2,0.1891000000000016,WSe2_0.01562
35,619cdd5145851b2ed2430ee2,low_WSe2,1.829900000000002,WSe2_0.01562
36,619cdd5145851b2ed2430ee3,low_WSe2,0.21119999999999983,WSe2_0.01562
37,619cdd5145851b2ed2430ee4,low_WSe2,1.2552999999999983,WSe2_0.01562
38,619cdd5145851b2ed2430ee5,low_WSe2,1.825099999999999,WSe2_0.01562
39,619cdd5145851b2ed2430ee6,low_WSe2,1.8316999999999979,WSe2_0.01562
40,619cdd5145851b2ed2430ee7,low_WSe2,0.2776999999999994,WSe2_0.01562
41,619cdd5145851b2ed2430ee8,low_WSe2,1.3022999999999954,WSe2_0.01562
42,619cdd5145851b2ed2430ee9,low_WSe2,1.1206000000000031,WSe2_0.01562
