,_id,dataset_material,band_gap_value,strata
0,BN_B62C2N63_816498e1-eef8-400f-93d4-17a0a435389a,high_BN,0.4786999999999999,0
1,BN_B62C1N63_631c0dc0-4762-4e3c-93ba-d4876a1b7997,high_BN,0.5971000000000011,0
2,BN_B63C2N62_5ea09385-eb62-43dc-9334-9142794a8de0,high_BN,0.8445,0
3,BN_B63C1N62_e4656f55-37a8-4fcf-bec1-fd7cc833f86b,high_BN,0.8705499999999979,0
4,BN_B62C2N63_91fe1ce6-6a19-4a26-8caa-82caf4ca6ac2,high_BN,1.8463999999999992,0
5,BN_B62C1N63_bf087d8a-5a80-4a8d-b49c-11eee139028c,high_BN,0.9186499999999995,0
6,BN_B62C1N63_893ce5db-7b03-4ba6-8e55-53222b1695e6,high_BN,0.660499999999999,0
7,BN_B61C1N64_a50c04dd-8fa1-4002-8868-188649964cc9,high_BN,1.6769999999999996,0
8,BN_B63C1N62_52a5aa1f-0d31-40fa-a5c4-f128d224df4a,high_BN,1.4415000000000013,0
9,BN_B63C2N62_b5c87de5-fac3-4157-86fd-41eac6b5a9a7,high_BN,1.3496500000000005,0
10,BN_B63C1N62_3b0d3454-cfed-46c6-9fe5-b0df4a2edc66,high_BN,1.9909,0
11,BN_B62C2N63_4409358a-dcc8-49f6-b702-608d39766e11,high_BN,0.2347500000000018,0
12,BN_B63N62_3760435c-dd62-4d1f-9763-66311e5ab139,high_BN,0.43645000000000067,0
13,BN_B62C1N63_cc56269d-91a1-4a0b-b9e8-e158426efc36,high_BN,0.9067000000000007,0
14,BN_B61C2N64_3a00ec3f-2de2-4d3b-9b63-3160d9d9b326,high_BN,0.5123500000000014,0
15,BN_B61N64_4c4fb839-fda3-4a8c-946a-c452b13f9e6d,high_BN,2.1989500000000035,0
16,BN_B62C3N63_9a1aea8f-da29-4edc-9208-a37956436273,high_BN,1.3227499999999992,0
17,BN_B61N64_68d5a805-c2bf-4ffe-aa80-512a409542b1,high_BN,1.5707999999999984,0
18,BN_B63C2N62_9ed008a9-5f25-4c0b-ba4a-8a47cda478be,high_BN,0.5088000000000008,0
19,BN_B62C1N63_c614fb3e-a560-49c0-a1f6-b15a83b422ee,high_BN,0.772000000000002,0
20,BN_B62C2N63_091e27ed-fca6-4341-b06d-4dcf13ddaff8,high_BN,1.5412999999999997,0
21,BN_B62N63_89a023d7-6d03-4de1-b7ea-ec06b93e6ff8,high_BN,1.0959000000000003,0
22,BN_B63C2N62_7978bb94-14d6-4a62-acdb-173bfcefa47d,high_BN,2.542950000000001,0
23,BN_B62C2N63_178ab46d-1504-44ae-8c06-e9368418fc14,high_BN,1.5412999999999997,0
24,BN_B62C1N63_e7bfa432-39ff-4f6e-b8dc-40c7a1915ef9,high_BN,0.9251499999999986,0
25,BN_B62C3N63_f8680fd0-eaf3-4516-a4f3-8a4049949bd4,high_BN,2.1213000000000015,0
26,BN_B63C1N62_18465540-0d0f-4f8a-a346-5ee2d1981023,high_BN,1.0185500000000012,0
27,BN_B62C2N63_3b66d4b4-5c61-4ec9-b6cd-271b6bb38d6a,high_BN,1.3198499999999989,0
28,BN_B63N62_7c8b2dbc-467d-4efa-b29d-eb6ae8baa9af,high_BN,1.2908000000000008,0
29,BN_B64C1N61_5ecb738b-0ff9-48c5-a2da-7edc4a799dac,high_BN,0.6815999999999995,0
30,BN_B64C1N61_ad29eaae-1b7f-4ea7-aa6c-34e6d2f89f29,high_BN,0.5962499999999977,0
31,BN_B64C2N61_0e9507d0-0b0b-492c-bfd1-c6d4c7ebbde4,high_BN,1.3899000000000008,0
32,BN_B63C1N62_0dadbc5a-890b-4e9e-ae15-162ed3245920,high_BN,1.045300000000001,0
33,BN_B62C3N63_d519e596-9ce5-4f0e-833a-660967339c07,high_BN,1.3068500000000007,0
34,BN_B62C2N63_754de4d2-57e0-45ae-a7af-1c23bc0fbbec,high_BN,1.192499999999999,0
35,BN_B63C2N62_49fdbd0f-5c60-4d1d-88c8-1c05a5c8cac3,high_BN,2.4200000000000017,0
36,BN_B64C1N61_e8eeadac-33f6-49f1-8b68-6f8611cd6300,high_BN,1.2393999999999998,0
37,BN_B63C1N62_68634908-9c74-4064-a1e4-3c4b31f924ad,high_BN,0.8043999999999976,0
38,BN_B63C2N62_3cb00313-8a82-4ba1-a679-417818d76f12,high_BN,0.5558000000000014,0
39,BN_B62C1N63_2d68e2f9-0cc7-43b1-af84-7425cfd5e70e,high_BN,0.6967999999999996,0
40,BN_B62C2N63_a7990a41-e250-40d6-9b1b-7e2ac0a4c96d,high_BN,1.5037500000000001,0
