_id,descriptor_id,energy,energy_per_atom,fermi_level,homo,lumo,band_gap,homo_lumo_gap,E_1
619cdd5145851b2ed2430ebf,619cdd9644389dee486ade3e,-1361.43077401,-7.165425126368421,-0.49839193,-0.3863,-0.1141,0.2165,0.2722,-15.4865
619cdd5145851b2ed2430ec0,619cdd9644389dee486ade3d,-1368.59319332,-7.165409389109947,-0.4711013,-0.321,-0.1073,0.1699999999999999,0.2137,-15.4813
619cdd5145851b2ed2430ec1,619cdd9644389dee486ade44,-1378.06399443,-7.214994735235603,-0.32676138,-0.9632,0.3281,1.2913,1.2913,-61.773
619cdd5145851b2ed2430ec2,619cdd9644389dee486ade3e,-1361.54233852,-7.166012308,-0.55439172,-0.3612,-0.1448,0.2713,0.2164,-15.4841
619cdd5145851b2ed2430ec3,619cdd9644389dee486ade3e,-1361.53910935,-7.165995312368421,-0.51428005,-0.3223,-0.1199,0.3755,0.20239999999999997,-15.4861
619cdd5145851b2ed2430ec4,619cdd9644389dee486ade44,-1378.06634111,-7.215007021518324,-0.32368093,-0.962,0.3362,1.2982,1.2982,-61.7372
619cdd5145851b2ed2430ec5,619cdd9644389dee486ade35,-1372.50860761,-7.223729513736841,-0.47388748,-0.9839,0.2958,1.2797,1.2797,-15.46
619cdd5145851b2ed2430ec6,619cdd9644389dee486ade44,-1378.08378014,-7.215098325340314,-0.32158475,-0.9623,0.3329,1.2952,1.2952,-61.7017
619cdd5145851b2ed2430ec7,619cdd9644389dee486ade3e,-1361.52305712,-7.165910826947369,-0.50346629,-0.3057,-0.1185,0.3666,0.18720000000000003,-15.4871
619cdd5145851b2ed2430ec8,619cdd9644389dee486ade44,-1378.05245121,-7.214934299528796,-0.31912726,-0.964,0.1959,1.1599,1.1599,-61.7301
619cdd5145851b2ed2430ec9,619cdd9644389dee486ade3e,-1361.57828646,-7.166201507684211,-0.51527447,-0.3168,-0.1068,0.3624,0.21000000000000002,-15.4869
619cdd5145851b2ed2430eca,619cdd9644389dee486ade43,-1385.28001684,-7.215000087708333,-0.30139709,-0.956,0.8671,1.8231,1.8231,-61.7184
619cdd5145851b2ed2430ecb,619cdd9644389dee486ade3b,-1354.32514323,-7.165741498571429,-0.5230437,-0.322,-0.1292,0.3730999999999999,0.1928,-15.4948
619cdd5145851b2ed2430ecc,619cdd9644389dee486ade3d,-1368.7276204,-7.166113195811518,-0.48654428,-0.2974,-0.1034,0.3676999999999999,0.194,-15.4797
619cdd5145851b2ed2430ecd,619cdd9644389dee486ade3e,-1361.44408599,-7.165495189421053,-0.49525509,-0.3822,-0.1087,0.2174,0.27349999999999997,-15.4879
619cdd5145851b2ed2430ece,619cdd9644389dee486ade3d,-1368.73041046,-7.166127803455497,-0.48970814,-0.3002,-0.1044,0.3692999999999999,0.19580000000000003,-15.4795
619cdd5145851b2ed2430ecf,619cdd9644389dee486ade43,-1385.28014413,-7.215000750677084,-0.30655477,-0.9559,0.8751,1.831,1.831,-61.7109
619cdd5145851b2ed2430ed0,619cdd9644389dee486ade3d,-1368.72295883,-7.166088789685864,-0.48295568,-0.2937,-0.1038,0.3697,0.1899,-15.4796
619cdd5145851b2ed2430ed1,619cdd9644389dee486ade44,-1378.07034726,-7.215027996125655,-0.32680027,-0.9644,0.3346,1.299,1.299,-61.7407
619cdd5145851b2ed2430ed2,619cdd9644389dee486ade41,-1370.69156473,-7.214166130157895,-0.53812814,-0.9692,-0.1129,0.8563,0.8563,-61.7643
619cdd5145851b2ed2430ed3,619cdd9644389dee486ade43,-1385.28099466,-7.2150051805208335,-0.30185908,-0.9582,0.8744,1.8326,1.8326,-61.7142
619cdd5145851b2ed2430ed4,619cdd9644389dee486ade44,-1378.05245553,-7.214934322146597,-0.32712274,-0.9635,0.3376,1.3011,1.3011,-61.7735
619cdd5145851b2ed2430ed5,619cdd9644389dee486ade44,-1378.07602231,-7.215057708429319,-0.32373143,-0.9649,0.3351,1.3,1.3,-61.7275
619cdd5145851b2ed2430ed6,619cdd9644389dee486ade3d,-1368.72235535,-7.166085630104712,-0.48491898,-0.297,-0.1089,0.3697,0.1881,-15.4783
619cdd5145851b2ed2430ed7,619cdd9644389dee486ade3d,-1368.76715279,-7.166320171675393,-0.4906769,-0.2762,-0.1,0.3733999999999999,0.1762,-15.4791
619cdd5145851b2ed2430ed8,619cdd9644389dee486ade3d,-1368.75939733,-7.166279567172775,-0.48731932,-0.2725,-0.0983,0.3684999999999999,0.17420000000000002,-15.4787
619cdd5145851b2ed2430ed9,619cdd9644389dee486ade3d,-1368.72010182,-7.166073831518325,-0.48893449,-0.297,-0.1052,0.369,0.19179999999999997,-15.4796
619cdd5145851b2ed2430eda,619cdd9644389dee486ade44,-1378.06305097,-7.21498979565445,-0.32547425,-0.9648,0.3354,1.3002,1.3002,-61.7364
619cdd5145851b2ed2430edb,619cdd9644389dee486ade44,-1378.15671369,-7.215480176387435,-0.32124879,-0.9662,0.3397,1.3058999999999998,1.3058999999999998,-61.7482
619cdd5145851b2ed2430edc,619cdd9644389dee486ade41,-1370.84877184,-7.214993536,-0.34901474,-0.9749,0.2704,1.2453,1.2452999999999999,-61.7636
619cdd5145851b2ed2430edd,619cdd9644389dee486ade43,-1385.28148607,-7.215007739947917,-0.30352873,-0.9565,0.8708,1.8273,1.8273000000000001,-61.7131
619cdd5145851b2ed2430ede,619cdd9644389dee486ade44,-1378.07281821,-7.215040933036649,-0.32400533,-0.9643,0.3385,1.3028,1.3028,-61.7428
619cdd5145851b2ed2430edf,619cdd9644389dee486ade43,-1385.28208177,-7.215010842552084,-0.30192117,-0.9561,0.8679,1.824,1.8239999999999998,-61.7143
619cdd5145851b2ed2430ee0,619cdd9644389dee486ade3e,-1363.19095202,-7.174689221157895,-0.49396046,-0.3228,0.3335,0.3023999999999999,0.6563,-15.488
619cdd5145851b2ed2430ee1,619cdd9644389dee486ade3d,-1368.71704798,-7.166057842827225,-0.48699188,-0.2954,-0.1063,0.3707999999999999,0.1891,-15.4785
619cdd5145851b2ed2430ee2,619cdd9644389dee486ade43,-1385.28429286,-7.215022358645833,-0.30301377,-0.9566,0.8733,1.8299,1.8298999999999999,-61.7143
619cdd5145851b2ed2430ee3,619cdd9644389dee486ade3e,-1361.57135442,-7.166165023263158,-0.50934028,-0.3214,-0.1102,0.3542,0.2112,-15.4848
619cdd5145851b2ed2430ee4,619cdd9644389dee486ade41,-1370.8735956,-7.215124187368421,-0.34874246,-0.9724,0.2829,1.2553,1.2553,-61.7186
619cdd5145851b2ed2430ee5,619cdd9644389dee486ade43,-1385.27969989,-7.214998436927083,-0.29082117,-0.9547,0.8704,1.8251,1.8251,-61.7195
